title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre,box_value,multiplier,bo_num
Dil Bole Hadippa!,2009,https://en.wikipedia.org/wiki/Dil_Bole_Hadippa!,Dil Bole Hadippa!,Anurag Singh[1],"Rani Mukerji, Shahid Kapoor, Sherlyn Chopra, Anupam Kher, Dalip Tahil",,₹ 46.12 crore ,,Yash Raj Films,2009 Indian Hindi-Language Sports Comedy,46.12,10000000,461200000.0
Wanted,2009,https://en.wikipedia.org/wiki/Wanted_(2009_film),Wanted,Prabhu Deva,"Salman Khan, Ayesha Takia, Prakash Raj, Vinod Khanna, Mahesh Manjrekar",₹ 35 crore ,₹ 90.21 crore ,Sahara One Motion Pictures,,09 Indian Hindi-Language Action Thriller,90.21,10000000,902100000.0
What's Your Raashee?,2009,https://en.wikipedia.org/wiki/What's_Your_Raashee?,What's Your Raashee?,Ashutosh Gowariker,"Harman Baweja, Priyanka Chopra",₹ 32 crore ,₹ 17 crore ,UTV Motion Pictures,,09 Indian Hindi-Language Romantic Comedy,17.0,10000000,170000000.0
Wake Up Sid,2009,https://en.wikipedia.org/wiki/Wake_Up_Sid,Wake Up Sid,Ayan Mukerji,"Ranbir Kapoor, Konkana Sen Sharma",₹ 18 crore ,₹ 47.10 crore ,UTV Motion Pictures,Dharma Productions,Coming-Of-Age Comedy-Drama,47.1,10000000,471000000.0
Acid Factory,2009,https://en.wikipedia.org/wiki/Acid_Factory,Acid Factory,Suparn Verma,"Fardeen Khan, Irrfan Khan, Manoj Bajpayee, Dino Morea, Aftab Shivdasani, Dia Mirza, Danny Denzongpa",₹ 21 crore ,₹ 5.20 crore ,Mumbai Mantra,,09 Indian Hindi-Language Action Thriller,5.2,10000000,52000000.0
Blue,2009,https://en.wikipedia.org/wiki/Blue_(2009_film),Blue,Anthony D'Souza,"Sanjay Dutt, Akshay Kumar, Lara Dutta, Katrina Kaif, Zayed Khan, Rahul Dev",₹750 million ,₹639 million ,Shree Ashtavinayak Cine Vision,Shree Ashtavinayak Cine Vision,9 Indian Hindi-Language Action-Adventure,639.0,1000000,639000000.0
All the Best: Fun Begins,2009,https://en.wikipedia.org/wiki/All_the_Best:_Fun_Begins,All The Best: Fun Begins,Rohit Shetty,"Ajay Devgn, Sanjay Dutt, Fardeen Khan, Bipasha Basu, Mugdha Godse",₹ 41 crore ,₹ 61 crore ,Yash Raj Films,,S Is A 2009 Indian Hindi-Language Comedy,61.0,10000000,610000000.0
Main Aurr Mrs Khanna,2009,https://en.wikipedia.org/wiki/Main_Aurr_Mrs_Khanna,Main Aurr Mrs Khanna,Prem Soni,"Salman Khan, Kareena Kapoor, Sohail Khan",₹ 38 crore ,"₹ 14.60
 crore ",UTV Motion Pictures,,Is A 2009 Indian Romance,14.6,10000000,146000000.0
Fruit & Nut,2009,https://en.wikipedia.org/wiki/Fruit_and_Nut_(film),Fruit and Nut,Kunal Vijaykar,"Boman Irani, Cyrus Broacha, Dia Mirza, Mahesh Manjrekar, Sachin Nayak",₹ 5 crore ,₹ 15 lakh ,Viacom18 Studios,,Fruit And Nut Is A 2009 Indian Comedy,15.0,100000,1500000.0
Aladin,2009,https://en.wikipedia.org/wiki/Aladin_(film),Aladin,Sujoy Ghosh,"Amitabh Bachchan, Sanjay Dutt, Ritesh Deshmukh, Jacqueline Fernandez",,est. ₹ 10.89 crore ,Eros International,Boundscript Motion Pictures,Fantasy Action Comedy,10.89,10000000,108900000.0
London Dreams,2009,https://en.wikipedia.org/wiki/London_Dreams,London Dreams,Vipul Shah,"Salman Khan, Ajay Devgn, Asin, Aditya Roy Kapur, Rannvijay Singh, Om Puri",₹ 45 crore ,₹ 41.31 crore ,Blockbuster Movie EntertainersHeadstart FilmsIntech,,2009 Indian Hindi-Language Musical Drama,41.31,10000000,413100000.0
Jail,2009,https://en.wikipedia.org/wiki/Jail_(2009_film),Jail,Madhur Bhandarkar,"Neil Nitin Mukesh, Mugdha Godse, Manoj Bajpayee, Arya Babbar",,₹10 crores ,,,L Is A 2009 Indian Hindi-Language Prison,10.0,10000000,100000000.0
3 Idiots,2009,https://en.wikipedia.org/wiki/3_Idiots,3 Idiots,Rajkumar Hirani,"Aamir Khan, R. Madhavan, Sharman Joshi",₹55 crore ,₹400.61–415 crore ,Reliance BIG Pictures,Vinod Chopra Films,Coming-Of-Age Satirical Comedy-Drama,400.61,10000000,4006100000.0
