title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Auzaar,1997,https://en.wikipedia.org/wiki/Auzaar,Auzaar,Sohail Khan,"Salman Khan, Sanjay Kapoor, Shilpa Shetty",₹ 5.25 crore ,₹ 10.37 crore ,,Tips Industries,97 Indian Hindi-Language Action Thriller
Jeevan Yudh,1997,https://en.wikipedia.org/wiki/Jeevan_Yudh,Jeevan Yudh,Partho Ghosh,"Raakhee, Mithun Chakraborty, Jaya Prada, Atul Agnihotri, Mamta Kulkarni",,,,Bharati Pictures,Van Yudh Is A 1997 Indian Hindi-Language
Salma Pe Dil Aa Gaya,1997,https://en.wikipedia.org/wiki/Richa_Sharma_(singer),Richa Sharma,,,,,,,Is An Indian
Lahoo Ke Do Rang,1997,https://en.wikipedia.org/wiki/Lahu_Ke_Do_Rang_(1997_film),Lahoo Ke Do Rang,Mehul Kumar,"Akshay Kumar, Naseeruddin Shah, Karishma Kapoor, Suresh Oberoi, Sheeba",₹5.50 crore ,₹9.35 crore ,,,Do Rang  Is A 1997 Hindi Suspense-Action
Himalay Putra,1997,https://en.wikipedia.org/wiki/Himalay_Putra,Himalay Putra,Pankaj Parashar,"Akshaye Khanna, Anjala Zaveri, Vinod Khanna, Hema Malini",₹4.25 crore ,₹7.19 crore ,,Vinod Khanna Productions,Is A 1997 Indian Hindi-Language Romance
Ziddi,1997,https://en.wikipedia.org/wiki/Ziddi_(1997_film),Ziddi,Guddu Dhanoa,"Sunny Deol, Raveena Tandon, Raj Babbar, Ashish Vidyarthi",₹7.5 crore ,₹32.43 crore ,Ratan International,,Is A 1997 Indian Action
Kaun Sachcha Kaun Jhootha,1997,https://en.wikipedia.org/wiki/Kaun_Sachcha_Kaun_Jhootha,Kaun Sachcha Kaun Jhootha,Partho Ghosh,"Rishi Kapoor, Sridevi, Suresh Oberoi, Mohnish Bahl",₹2 crore ,₹1.27 crore ,,,Hootha Is A 1997 Hindi-Language Thriller
Koyla,1997,https://en.wikipedia.org/wiki/Koyla,Koyla,Rakesh Roshan,"Shah Rukh Khan, Madhuri Dixit, Amrish Puri",est. ₹12 crore ,est. ₹28.05 crore ,Yash Raj FilmsSony Pictures,Filmkraft Productions Pvt. Ltd.,97 Indian Hindi-Language Action Thriller
Sanam,1997,https://en.wikipedia.org/wiki/Sanam_(1997_film),Sanam,Aziz Sejawal,"Sanjay Dutt, Manisha Koirala, Vivek Mushran",₹ 1.75 crore ,₹ 3.10 crore ,,Magnum Films International,997 Hindi Language Romantic Drama Action
Mrityudaata,1997,https://en.wikipedia.org/wiki/Mrityudata,Mrityudata,Mehul Kumar,"Amitabh Bachchan, Dimple Kapadia, Karisma Kapoor, Paresh Rawal, Deepak Tijori, Arbaaz Ali Khan",₹13 crore ($4 million) ,₹17.37 crore ,,Amitabh Bachchan Corporation Limited(ABCL),1997 Indian Hindi-Language Action Drama
Banarasi Babu,1997,https://en.wikipedia.org/wiki/Banarasi_Babu_(1997_film),Banarasi Babu,David Dhawan,"Govinda, Ramya, Kadar Khan",,,,,Is A 1997 Indian Hindi-Language Comedy
Zameer: The Awakening of a Soul,1997,https://en.wikipedia.org/wiki/Zameer:_The_Awakening_of_a_Soul,Zameer: The Awakening of a Soul,Rajat Rawail,"Sanjay Kapoor, Shilpa Shetty, Satyajeet, Kader Khan, Paresh Rawal",,,Tips Films,Weston Films,Ul Is A 1997 Indian Hindi-Language Drama
Mahaanta: The Film,1997,https://en.wikipedia.org/wiki/Mahaanta,Mahaanta,Afzal Khan,"Jeetendra, Sanjay Dutt, Madhuri Dixit, Shakti Kapoor, Paresh Rawal",₹ 42.5 million ,₹ 95 million ,,Ayesha Film,Is A 1997 Hindi-Language Action Drama
Virasat,1997,https://en.wikipedia.org/wiki/Virasat_(1997_film),Virasat,Priyadarshan,"Anil Kapoor, Amrish Puri, Tabu, Pooja Batra, Milind Gunaji, Govind Namdeo",,,M. R. Productions Pvt Ltd,,1997 Indian Hindi-Language Action Drama
Insaaf: The Final Justice,1997,https://en.wikipedia.org/wiki/Insaaf_(1997_film),Insaaf,Dayal Nihalani,"Akshay Kumar, Shilpa Shetty",₹ 3.50 crore ,₹ 6.64 crore ,Time Magnetics Pvt.Ltd,Manish Arts,Is A 1997 Indian Bollywood Action
Gudia,1997,https://en.wikipedia.org/wiki/Gudia_(1997_film),Gudia,Gautam Ghose,Mithun Chakraborty,,,,PLUS Films,Gudia Is A 1997 Indian Drama
