title,year,wikipedia_url
Kanoon,1960,https://en.wikipedia.org/wiki/Kanoon
Bewaqoof,1960,https://en.wikipedia.org/wiki/Bewaqoof
Honeymoon,1960,
Lal Quila,1960,https://en.wikipedia.org/wiki/Lal_Qila_(disambiguation)
Maa Baap,1960,
Bhakt Raj,1960,
Pedro,1960,
Love in Simla,1960,https://en.wikipedia.org/wiki/Love_in_Simla
Anuradha,1960,https://en.wikipedia.org/wiki/Anuradha_(1960_film)
Heera Moti,1960,
Mughal-E-Azam,1960,https://en.wikipedia.org/wiki/Mughal-e-Azam
The Test,1960,
Zameen Ke Tare,1960,https://en.wikipedia.org/wiki/Zameen_Ke_Tare
Kohinoor,1960,https://en.wikipedia.org/wiki/Kohinoor_(1960_film)
Barsaat Ki Raat,1960,https://en.wikipedia.org/wiki/Barsaat_Ki_Raat
Jis Desh Men Ganga Behti Hai,1960,https://en.wikipedia.org/wiki/Jis_Desh_Mein_Ganga_Behti_Hai
Ghunghat,1960,https://en.wikipedia.org/wiki/Ghunghat_(1960_film)
Kala Bazar,1960,https://en.wikipedia.org/wiki/Kala_Bazar
Bombai Ka Babu,1960,https://en.wikipedia.org/wiki/Bombai_Ka_Babu
Dil Apna Aur Preet Parai,1960,https://en.wikipedia.org/wiki/Dil_Apna_Aur_Preet_Parai
Hum Hindustani,1960,
Shriman Satyawadi,1960,https://en.wikipedia.org/wiki/Shriman_Satyawadi
Kalpana,1960,https://en.wikipedia.org/wiki/Kalpana_(1960_film)
Return of Mr. Superman,1960,https://en.wikipedia.org/wiki/Return_of_Mr._Superman
Manzil,1960,https://en.wikipedia.org/wiki/Manzil_(1960_film)
Chhabili,1960,https://en.wikipedia.org/wiki/Chhabili
Usne Kaha Tha,1960,https://en.wikipedia.org/wiki/Usne_Kaha_Tha
Patang,1960,https://en.wikipedia.org/wiki/Kati_Patang
Basant,1960,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1960
Singapore,1960,
Ek Phool Char Kante,1960,https://en.wikipedia.org/wiki/Ek_Phool_Char_Kante
Mehlon Ke Khwab,1960,https://en.wikipedia.org/wiki/Mehlon_Ke_Khwab
Mud Mud Ke Na Dekh,1960,
Chhalia,1960,https://en.wikipedia.org/wiki/Chhalia
Angulimaal,1960,https://en.wikipedia.org/wiki/Angulimaal_(film)
Bindya,1960,https://en.wikipedia.org/wiki/Bindya
Jaali Note,1960,https://en.wikipedia.org/wiki/Jaali_Note
Dil Bhi Tera Hum Bhi Tere,1960,https://en.wikipedia.org/wiki/Dil_Bhi_Tera_Hum_Bhi_Tere
Bade Ghar Ki Bahu,1960,
Miya Bibi Razi,1960,
Sarhad,1960,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1960
Bahana,1960,https://en.wikipedia.org/wiki/Bahana_(1960_film)
Zimbo Comes to Town,1960,https://en.wikipedia.org/wiki/Zimbo_Comes_To_Town
Ghar Ki Laj,1960,https://en.wikipedia.org/wiki/List_of_film_songs_based_on_ragas
Ek Ke Baad Ek,1960,https://en.wikipedia.org/wiki/Ek_Ke_Baad_Ek
Duniya Jhukti Hai,1960,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1960
Gunga Jumna,1961,https://en.wikipedia.org/wiki/Gunga_Jumna
Dharmputra,1961,https://en.wikipedia.org/wiki/Dharmputra
Mr. India,1961,https://en.wikipedia.org/wiki/Mr._India
Aas Ka Panchhi,1961,
Amar Rahe Ye Pyar,1961,https://en.wikipedia.org/wiki/Amar_Rahe_Yeh_Pyar
Payaase Panchhi,1961,
Zabak,1961,https://en.wikipedia.org/wiki/Zabak
Gharana,1961,https://en.wikipedia.org/wiki/Gharana_(1961_film)
Tel Malish Boot Polish,1961,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1961
Junglee,1961,https://en.wikipedia.org/wiki/Junglee_(1961_film)
Kabuliwala,1961,https://en.wikipedia.org/wiki/Kabuliwala_(1961_film)
Bhabhi Ki Chudiyan,1961,https://en.wikipedia.org/wiki/Bhabhi_Ki_Chudiyan
Hum Dono,1961,https://en.wikipedia.org/wiki/Hum_Dono_(1961_film)
